bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF422BYQ	215	ENCFF343ILJ	205	H3K27ac-human	naivethymusderivedCD4positivealphabetaTcell	ENCSR674VPA
ENCFF434DCE	180	ENCFF381OZQ	105	H3K27ac-human	aortafemaleadult30years	ENCSR322TJD
ENCFF691OID	90	ENCFF353DFP	95	H3K27ac-human	iPSDF69	ENCSR875QDS
ENCFF805CCB	130	ENCFF434DAM	150	H3K27ac-human	stomachfemaleadult30years	ENCSR582UTE
ENCFF118ACN	130	ENCFF999JOG	120	H3K27ac-human	sigmoidcolonmalechild3years	ENCSR213SMK
ENCFF663UKL	190	ENCFF935OQU	540	H3K27ac-human	coronaryarteryfemaleadult53years	ENCSR443UYU
ENCFF338JGH	200	ENCFF322KCH	195	H3K27ac-human	GM23248	ENCSR007YOT
ENCFF470UMA	240	ENCFF322KCH	195	H3K27ac-human	GM23248	ENCSR007YOT
ENCFF265HDL	130	ENCFF861FUK	130	H3K27ac-human	aortamaleadult34years	ENCSR519CFV
ENCFF063LDJ	120	ENCFF341BPJ	120	H3K27ac-human	neuralstemprogenitorcelloriginatedfromH1	ENCSR799SRL
ENCFF402MPW	130	ENCFF341BPJ	120	H3K27ac-human	neuralstemprogenitorcelloriginatedfromH1	ENCSR799SRL
ENCFF263UOB	175	ENCFF341BPJ	120	H3K27ac-human	neuralstemprogenitorcelloriginatedfromH1	ENCSR799SRL
ENCFF823HMZ	235	ENCFF782BSN	130	H3K27ac-human	commonmyeloidprogenitorCD34positivefemaleadult27years	ENCSR891KSP
ENCFF047LSV	220	ENCFF782BSN	130	H3K27ac-human	commonmyeloidprogenitorCD34positivefemaleadult27years	ENCSR891KSP
ENCFF604IOL	170	ENCFF601DLY	185	H3K27ac-human	naturalkillercellmaleadult37years	ENCSR391EQV
ENCFF305JAV	140	ENCFF127SFN	135	H3K27ac-human	psoasmusclemaleadult34years	ENCSR791ISZ
ENCFF879LRT	155	ENCFF449CRS	390	H3K27ac-human	SKNSH	ENCSR000FCU
ENCFF659HWC	125	ENCFF449CRS	390	H3K27ac-human	SKNSH	ENCSR000FCU
ENCFF233ZTK	165	ENCFF043HHU	135	H3K27ac-human	trophoblastcelloriginatedfromH1	ENCSR425PQI
ENCFF570NQD	115	ENCFF043HHU	135	H3K27ac-human	trophoblastcelloriginatedfromH1	ENCSR425PQI
ENCFF625RQZ	115	ENCFF043HHU	135	H3K27ac-human	trophoblastcelloriginatedfromH1	ENCSR425PQI
ENCFF679CAM	245	ENCFF857FPM	185	H3K27ac-human	KOPTK1	ENCSR719FEJ
ENCFF800NUM	215	ENCFF857FPM	185	H3K27ac-human	KOPTK1	ENCSR719FEJ
ENCFF340TPS	215	ENCFF889VIV	180	H3K27ac-human	HCT116	ENCSR661KMA
ENCFF689GKI	205	ENCFF889VIV	180	H3K27ac-human	HCT116	ENCSR661KMA
ENCFF410WCE	155	ENCFF180QGB	155	H3K27ac-human	smallintestinefemaleadult30years	ENCSR655XLM
ENCFF669QIE	210	ENCFF194ETR	105	H3K27ac-human	coronaryarteryfemaleadult51years	ENCSR355GNZ
ENCFF178CUD	100	ENCFF791PRR	110	H3K27ac-human	ovaryfemaleadult30years	ENCSR268JQE
ENCFF972FYM	160	ENCFF115AHD	160	H3K27ac-human	stomachmalechild3years	ENCSR437QMD
ENCFF834ZEK	100	ENCFF246SXV	120	H3K27ac-human	heartrightventriclemalechild3years	ENCSR028NXO
ENCFF027VFV	170	ENCFF879WYG	60	H3K27ac-human	spinalcordfemaleembryo108days	ENCSR209QGZ
ENCFF858LNL	210	ENCFF989JQG	155	H3K27ac-human	SKNMC	ENCSR835MMN
ENCFF864XGA	165	ENCFF989JQG	155	H3K27ac-human	SKNMC	ENCSR835MMN
ENCFF401VYN	165	ENCFF676AXV	155	H3K27ac-human	heartleftventriclemalechild3years	ENCSR557DFM
ENCFF825ZUF	170	ENCFF259EKT	215	H3K27ac-human	spleenmalechild3years	ENCSR170MAJ
ENCFF913JKY	255	ENCFF419ELL	110	H3K27ac-human	stomachfemaleadult53years	ENCSR133NBJ
ENCFF692ILM	235	ENCFF984GNG	1390	H3K27ac-human	stomachmaleadult37years	ENCSR944KAZ
ENCFF850VCJ	175	ENCFF969DRM	150	H3K27ac-human	spleenmaleadult34years	ENCSR235ZBF
ENCFF607VEF	205	ENCFF617REL	195	H3K27ac-human	KMS11	ENCSR955IXZ
ENCFF820EBJ	210	ENCFF617REL	195	H3K27ac-human	KMS11	ENCSR955IXZ
ENCFF530TEP	280	ENCFF037YKX	245	H3K27ac-human	prostateglandmaleadult37years	ENCSR841AJO
ENCFF905SBA	270	ENCFF037YKX	245	H3K27ac-human	prostateglandmaleadult37years	ENCSR841AJO
ENCFF015LEU	110	ENCFF623LBS	140	H3K27ac-human	pancreasfemaleadult30years	ENCSR402HFW
ENCFF463AZS	205	ENCFF413FRL	495	H3K27ac-human	vaginafemaleadult53years	ENCSR718BTD
ENCFF081ANG	185	ENCFF413FRL	495	H3K27ac-human	vaginafemaleadult53years	ENCSR718BTD
ENCFF437QEP	230	ENCFF400VJM	460	H3K27ac-human	tibialarterymaleadult54years	ENCSR535GFO
ENCFF459ELZ	245	ENCFF400VJM	460	H3K27ac-human	tibialarterymaleadult54years	ENCSR535GFO
ENCFF861HMY	165	ENCFF168AMY	145	H3K27ac-human	adiposetissuemaleadult34years	ENCSR082SHT
ENCFF572NBX	195	ENCFF259WHE	105	H3K27ac-human	livermaleadult32years	ENCSR458RRZ
