bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF617TBP	185	ENCFF326UUS	220	H3K27ac-human	uterusfemaleadult53years	ENCSR249INE
ENCFF952SKG	230	ENCFF255WXC	1145	H3K27ac-human	esophagusmuscularismucosafemaleadult51years	ENCSR894MOX
ENCFF212VDI	240	ENCFF255WXC	1145	H3K27ac-human	esophagusmuscularismucosafemaleadult51years	ENCSR894MOX
ENCFF538YUR	235	ENCFF132NWA	90	H3K27ac-human	sigmoidcolonfemaleadult51years	ENCSR641SDI
ENCFF935IRT	220	ENCFF801OTV	125	H3K27ac-human	esophagussquamousepitheliummaleadult37years	ENCSR143XNJ
ENCFF474VOO	280	ENCFF849QON	245	H3K27ac-human	Bcellfemaleadult27years	ENCSR000AUP
ENCFF013CQR	245	ENCFF849QON	245	H3K27ac-human	Bcellfemaleadult27years	ENCSR000AUP
ENCFF758SXC	230	ENCFF569SHN	195	H3K27ac-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000AVF
ENCFF241YWT	245	ENCFF569SHN	195	H3K27ac-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000AVF
ENCFF079AQF	235	ENCFF838RMJ	110	H3K27ac-human	DOHH2	ENCSR741STU
ENCFF479VLR	230	ENCFF838RMJ	110	H3K27ac-human	DOHH2	ENCSR741STU
ENCFF950DQE	245	ENCFF046MQK	100	H3K27ac-human	gastroesophagealsphincterfemaleadult51years	ENCSR316LNO
ENCFF974WDU	205	ENCFF046MQK	100	H3K27ac-human	gastroesophagealsphincterfemaleadult51years	ENCSR316LNO
ENCFF636ACK	220	ENCFF808COP	210	H3K27ac-human	stomachmaleadult54years	ENCSR204OJS
ENCFF821PAH	235	ENCFF816XYV	200	H3K27ac-human	smoothmusclecelloriginatedfromH9	ENCSR210ZPC
ENCFF699GFE	205	ENCFF816XYV	200	H3K27ac-human	smoothmusclecelloriginatedfromH9	ENCSR210ZPC
ENCFF324SDG	185	ENCFF120GPO	205	H3K27ac-human	cardiacmusclecelloriginatedfromRUES2	ENCSR000NPF
ENCFF974ARO	200	ENCFF120GPO	205	H3K27ac-human	cardiacmusclecelloriginatedfromRUES2	ENCSR000NPF
ENCFF295IFC	140	ENCFF881HEW	130	H3K27ac-human	psoasmusclefemaleadult30years	ENCSR250NHD
ENCFF735KUK	180	ENCFF218XAV	140	H3K27ac-human	stomachmaleadult34years	ENCSR001SHB
ENCFF342MZW	140	ENCFF718BTS	130	H3K27ac-human	sigmoidcolonmaleadult34years	ENCSR561YSH
ENCFF400SMX	180	ENCFF930INE	200	H3K27ac-human	neuroepithelialstemcellgeneticallymodifiedusingstabletransfectionoriginatedfromH9	ENCSR842NGQ
ENCFF422KZV	205	ENCFF930INE	200	H3K27ac-human	neuroepithelialstemcellgeneticallymodifiedusingstabletransfectionoriginatedfromH9	ENCSR842NGQ
ENCFF178ICX	135	ENCFF435UQW	160	H3K27ac-human	H9	ENCSR876RGF
ENCFF271XBU	90	ENCFF435UQW	160	H3K27ac-human	H9	ENCSR876RGF
ENCFF429QHU	105	ENCFF034DXU	125	H3K27ac-human	smallintestinemaleadult34years	ENCSR543CPW
ENCFF567QOT	205	ENCFF906YGC	180	H3K27ac-human	ACC112	ENCSR059MVB
