bam_accession	fragment_length	biosample	experiment_accession
ENCFF524BYF	36	HFFMycoriginatedfromforeskinfibroblast	ENCSR000ENR
ENCFF596GQD	36	HFFMycoriginatedfromforeskinfibroblast	ENCSR000ENR
ENCFF718CPH	36	muscleoflegmaleembryo97days	ENCSR033DQS
ENCFF123GQB	36	cardiacmusclecelloriginatedfromH7treatedwith5ngmLFibroblastgrowthfactor2for14days10ngmLBonemorphogeneticprotein4for14days6ngmLActivinAfor14days	ENCSR000EMY
ENCFF381XAO	36	cardiacmusclecelloriginatedfromH7treatedwith5ngmLFibroblastgrowthfactor2for14days10ngmLBonemorphogeneticprotein4for14days6ngmLActivinAfor14days	ENCSR000EMY
ENCFF276MYG	36	lungfemaleembryo120days	ENCSR214XJO
ENCFF464YPK	36	largeintestinefemaleembryo98days	ENCSR796SJV
ENCFF988AGY	36	foreskinfibroblastmalenewborn	ENCSR153LHP
ENCFF696XWN	36	stomachfemaleembryo98days	ENCSR208DMX
ENCFF495TYK	36	brainfemaleembryo109days	ENCSR344FLH
ENCFF247OEM	36	trophoblastcelloriginatedfromH1	ENCSR179CDH
ENCFF827ZUX	20	T47Dtreatedwith10nM17betaestradiolfor30minutes	ENCSR000ELS
ENCFF419YZK	36	astrocyteofthecerebellum	ENCSR000ENC
ENCFF860MDX	36	astrocyteofthecerebellum	ENCSR000ENC
ENCFF151NWN	36	ovaryfemaleembryo	ENCSR428XAX
ENCFF843RUT	36	lungmicrovascularendothelialcellfemale	ENCSR000EOD
ENCFF134ECF	36	Thelper1cell	ENCSR000EIG
ENCFF279XBP	36	skinofbodyfemaleembryo82days	ENCSR092OFK
ENCFF694DML	36	rightrenalcortexinterstitiummaleembryo105days	ENCSR014VAC
ENCFF513MDH	36	smallintestinemaleembryo87days	ENCSR970ZLG
ENCFF153UPL	36	RPMI7951	ENCSR000EPV
ENCFF187STF	36	heartmaleembryo120days	ENCSR392GCE
ENCFF708ODW	36	largeintestinemaleembryo113days	ENCSR047FNH
ENCFF325PPL	36	smallintestinefemaleembryo105days	ENCSR860NDZ
ENCFF390SVU	36	stomachfemaleembryo147days	ENCSR627KFV
ENCFF980AMQ	36	muscleoftrunkfemaleembryo121days	ENCSR411MGY
ENCFF580KJB	36	irispigmentepithelialcell	ENCSR000ENT
ENCFF650VCZ	36	irispigmentepithelialcell	ENCSR000ENT
ENCFF903URC	36	renalpelvisfemaleembryo103days	ENCSR554WUJ
ENCFF510SQT	20	AG08395	ENCSR000EIV
ENCFF910KLI	36	astrocyteofthehippocampus	ENCSR000ENA
ENCFF707XHV	36	astrocyteofthehippocampus	ENCSR000ENA
ENCFF352VHM	36	muscleoftrunkfemaleembryo113days	ENCSR440FZS
ENCFF228ZXO	36	fibroblastoflungmaleadult45years	ENCSR000EPR
ENCFF797RES	36	fibroblastoflungmaleadult45years	ENCSR000EPR
ENCFF845SGV	36	AG10803	ENCSR000EMB
ENCFF852EAF	36	AG10803	ENCSR000EMB
ENCFF777ADP	36	muscleoflegfemaleembryo113days	ENCSR272RQX
ENCFF685FBO	36	rightkidneyfemaleembryo147days	ENCSR871APX
ENCFF368XNE	36	fibroblastofvillousmesenchyme	ENCSR000EOR
ENCFF869AKJ	36	fibroblastofvillousmesenchyme	ENCSR000EOR
ENCFF813ZGX	36	endothelialcellofumbilicalveinnewborn	ENCSR000EOQ
ENCFF434GJP	36	endothelialcellofumbilicalveinnewborn	ENCSR000EOQ
ENCFF060HCX	36	muscleofbackmaleembryo97days	ENCSR295ELC
ENCFF093JOU	36	placentafemaleembryo105days	ENCSR545KQR
ENCFF640FXT	36	renalpelvisfemaleembryo89days	ENCSR911YVV
ENCFF825YMA	50	GM10266	ENCSR000EJC
ENCFF002QDM	36	brainmaleembryo122days	ENCSR649KBB
ENCFF732GMC	36	dermisbloodvesselendothelialcellfemaleadult	ENCSR000ENX
ENCFF626KPV	36	dermisbloodvesselendothelialcellfemaleadult	ENCSR000ENX
ENCFF734SZK	36	M059J	ENCSR000EPG
ENCFF764PYL	36	ovaryfemaleadult30years	ENCSR712PYJ
ENCFF879BNX	36	epithelialcellofprostate	ENCSR000EPU
ENCFF983FBQ	36	epithelialcellofprostate	ENCSR000EPU
ENCFF727AUR	36	WI38geneticallymodifiedusingstabletransfectionoriginatedfromWI38treatedwith20nMafimoxifenefor72hours	ENCSR000EQM
ENCFF405WBA	36	WI38geneticallymodifiedusingstabletransfectionoriginatedfromWI38treatedwith20nMafimoxifenefor72hours	ENCSR000EQM
ENCFF095EOR	36	dermismicrovascularlymphaticvesselendothelialcellmale	ENCSR000EOB
ENCFF465BRT	36	dermismicrovascularlymphaticvesselendothelialcellmale	ENCSR000EOB
ENCFF049WFJ	36	muscleofarmmaleembryo115days	ENCSR868XPR
ENCFF435NWK	36	MCF7treatedwith100nMestradiolfor1hour	ENCSR000EPI
ENCFF723HPJ	36	MCF7treatedwith100nMestradiolfor1hour	ENCSR000EPI
ENCFF179EGA	36	choroidplexusepithelialcell	ENCSR000ENL
ENCFF582ELI	36	choroidplexusepithelialcell	ENCSR000ENL
ENCFF459FGU	36	cardiacfibroblast	ENCSR000ENH
ENCFF859LTN	36	cardiacfibroblast	ENCSR000ENH
ENCFF102TYI	36	rightrenalpelvismaleembryo105days	ENCSR761ZFA
ENCFF150FTD	20	urotheliumcellline	ENCSR000ELV
ENCFF737ILJ	36	leftlungmaleembryo113days	ENCSR488PHT
ENCFF216TVS	36	rightlungmaleembryo96days	ENCSR964VVW
ENCFF357YVA	36	largeintestinefemaleembryo105days	ENCSR444VTC
ENCFF738LZH	36	leftrenalcortexinterstitiummaleembryo120days	ENCSR039ZVQ
ENCFF102CCA	36	heartfemaleembryo117days	ENCSR174JMM
ENCFF003GDW	36	thymusfemaleembryo105days	ENCSR838IPF
ENCFF406NNO	36	adrenalglandmaleembryo108days	ENCSR728BAD
ENCFF225BMQ	36	leftkidneyfemaleembryo147days	ENCSR422PVL
ENCFF175VYM	36	CD8positivealphabetaTcellfemaleadult34years	ENCSR609DDQ
ENCFF039CCW	36	lungmaleembryo82days	ENCSR587HPR
ENCFF560DOD	36	CD14positivemonocytefemale	ENCSR000EPK
ENCFF117UCU	36	placentafemaleembryo85days	ENCSR648RAX
ENCFF002PRU	36	brainmaleembryo104days	ENCSR947POC
ENCFF898LUA	36	A549	ENCSR000EIE
ENCFF648SRI	36	leftkidneyfemaleembryo98days	ENCSR120LVW
ENCFF320WEE	36	muscleoflegmaleembryo96days	ENCSR297ORG
ENCFF350ADG	36	skeletalmusclecell	ENCSR000EQA
ENCFF907ZLW	36	kidneyfemaleembryo108days	ENCSR941DTJ
ENCFF575RRD	36	muscleofarmfemaleembryo105days	ENCSR517NHP
ENCFF082HNP	20	K562G2phase	ENCSR000EKP
ENCFF799FPE	36	renalpelvismaleembryo127days	ENCSR301RCD
ENCFF319KPB	36	fibroblastofgingiva	ENCSR000ENS
ENCFF113PHZ	36	brainpericyte	ENCSR000ENF
ENCFF098QVT	36	pancreasfemaleadult30years	ENCSR595HZQ
ENCFF414MBW	36	A549	ENCSR000ELW
ENCFF384DKP	36	largeintestinemaleembryo105days	ENCSR666YVE
ENCFF090MYG	36	WI38geneticallymodifiedusingstabletransfectionoriginatedfromWI38	ENCSR000EQN
ENCFF864JGZ	36	WI38geneticallymodifiedusingstabletransfectionoriginatedfromWI38	ENCSR000EQN
ENCFF120XFB	20	HEK293T	ENCSR000EJR
ENCFF834ZXZ	20	H7	ENCSR000EJO
ENCFF512ZPM	36	HPDE6E6E7	ENCSR000EJX
ENCFF243ZVW	36	leftlungfemaleembryo107days	ENCSR680SDS
ENCFF451NJI	36	renalpelvismaleembryo91days	ENCSR580OAH
ENCFF600MAP	36	AG09319	ENCSR000EMA
ENCFF156BPD	36	AG09319	ENCSR000EMA
ENCFF795BKQ	20	chorion	ENCSR000EIL
ENCFF976DGL	36	commonmyeloidprogenitorCD34positivemaleadult23years	ENCSR639ZJI
ENCFF715SBO	36	SKNDZtreatedwithdimethylsulfoxidefor72hours	ENCSR000FJL
ENCFF911BTJ	36	thymusmaleembryo127days	ENCSR164PQJ
ENCFF945LOQ	36	thymusfemaleembryo147days	ENCSR777USE
ENCFF208OOF	20	epidermalmelanocyte	ENCSR000ELD
ENCFF676ZVU	36	placentamaleembryo85days	ENCSR802AJE
ENCFF422YEO	36	fibroblastoftheconjunctiva	ENCSR000ENK
ENCFF236GKU	36	fibroblastoftheconjunctiva	ENCSR000ENK
ENCFF914ZZA	36	rightkidneymaleembryo87days	ENCSR332BSB
ENCFF188HWG	36	renalpelvismaleembryo108days	ENCSR913NYL
ENCFF616KIO	36	adrenalglandfemaleembryo85days	ENCSR866RCY
ENCFF076CAH	36	spinalcordmaleembryo96days	ENCSR788SOI
ENCFF280YWT	36	leftkidneymaleembryo87days	ENCSR600RAA
ENCFF555GHS	36	LHCNM2	ENCSR000EPE
ENCFF231TEJ	36	heartfemaleembryo91days	ENCSR064GBK
ENCFF593WBR	36	GM12878	ENCSR000EMT
ENCFF658WKQ	36	GM12878	ENCSR000EMT
ENCFF445ADE	36	rightrenalpelvismaleembryo120days	ENCSR540PVZ
ENCFF206IPN	36	SKNSHtreatedwith6mcMalltransretinoicacidfor48hours	ENCSR000EPZ
ENCFF823HSL	27	SKNSHtreatedwith6mcMalltransretinoicacidfor48hours	ENCSR000EPZ
ENCFF377ITR	36	lungmicrovascularendothelialcellfemale	ENCSR000EOE
ENCFF507SVX	36	lungmicrovascularendothelialcellfemale	ENCSR000EOE
ENCFF862VPD	36	renalcortexinterstitiumfemaleembryo103days	ENCSR656QYL
ENCFF266KSF	36	HCT116	ENCSR000ENM
ENCFF391EDU	36	HCT116	ENCSR000ENM
ENCFF689AWK	36	muscleofbackmaleembryo105days	ENCSR357RED
ENCFF393ZCH	36	glomerularendothelialcell	ENCSR000EOM
ENCFF217AES	36	glomerularendothelialcell	ENCSR000EOM
ENCFF156QMX	36	SKMEL5	ENCSR000FEK
ENCFF516PCO	36	ELF1	ENCSR678ILN
ENCFF200KPY	36	rightrenalcortexinterstitiummaleembryo105days	ENCSR268QCH
ENCFF496QFG	36	fibroblastofskinofleftbicepsmaleembryo97days	ENCSR562ACY
ENCFF824FOA	36	rightrenalpelvismaleembryo105days	ENCSR752NTF
ENCFF079AFH	36	GM04503	ENCSR000EMO
ENCFF934KRD	36	GM04503	ENCSR000EMO
ENCFF353BGJ	36	renalpelvisfemaleembryo96days	ENCSR606UAR
ENCFF103JUC	36	lungembryo67days	ENCSR504KZE
ENCFF609XGK	36	GM06990	ENCSR000EMQ
ENCFF811YPN	27	GM06990	ENCSR000EMQ
ENCFF875SKJ	36	myocyteoriginatedfromLHCNM2	ENCSR000EPD
ENCFF458BGJ	36	muscleoflegmaleembryo127days	ENCSR622CAH
ENCFF682LAI	36	foreskinfibroblastmalenewborn	ENCSR000EPP
ENCFF732BYR	36	foreskinfibroblastmalenewborn	ENCSR000EPP
ENCFF164MVZ	36	K562	ENCSR000EKS
ENCFF114GWU	20	AG20443	ENCSR000EIX
ENCFF169JFB	36	Tcell	ENCSR040DGJ
ENCFF212MQC	36	HS5	ENCSR000EMG
ENCFF031YLN	36	muscleofbackfemaleembryo98days	ENCSR072NBR
ENCFF915LEP	20	H1	ENCSR000EJN
ENCFF115YBL	36	NT2D1	ENCSR000EPS
ENCFF630DWU	36	NT2D1	ENCSR000EPS
ENCFF382XYI	36	MCF7geneticallymodifiedusingRNAi	ENCSR000EKX
ENCFF389XNA	36	commonmyeloidprogenitorCD34positivemaleadult36years	ENCSR453EVC
ENCFF661PXJ	20	D721Med	ENCSR000ELA
ENCFF959EEX	36	epithelialcellofproximaltubule	ENCSR000EPW
ENCFF725QCH	36	epithelialcellofproximaltubule	ENCSR000EPW
ENCFF225YGR	36	largeintestinefemaleembryo110days	ENCSR154YPL
ENCFF574GID	36	renalcortexinterstitiummaleembryo127days	ENCSR849OKE
ENCFF022WQN	20	H9	ENCSR000EJP
ENCFF940BNE	36	germinalcenter	ENCSR000EIZ
ENCFF595LDQ	36	rightlungmaleembryo115days	ENCSR228BOM
ENCFF896FAA	36	spinalcordfemaleembryo113days	ENCSR678PDD
ENCFF839QKD	36	leftlungmaleembryo96days	ENCSR639XWF
ENCFF501IRE	36	brainmaleembryo105days	ENCSR420RWU
ENCFF028OWR	36	Bcellfemaleadult34years	ENCSR891VOV
ENCFF103TWU	20	H54	ENCSR000EJA
ENCFF953UGS	36	renalpelvismaleembryo113days	ENCSR956ZHU
ENCFF581AVY	36	lungfemaleembryo108days	ENCSR482HQE
ENCFF107ZZV	36	leftkidneymaleembryo115days	ENCSR543YPH
ENCFF575XOL	36	EL	ENCSR691MQJ
ENCFF923PXN	36	GM12865	ENCSR000EMS
ENCFF453PKP	36	GM12865	ENCSR000EMS
ENCFF493TLS	36	leftrenalpelvismaleembryo105days	ENCSR258IBL
ENCFF335TCS	20	K562G1phase	ENCSR000EKQ
ENCFF370VHQ	36	lungfemaleembryo96days	ENCSR847RSJ
ENCFF024CTB	36	muscleoflegmaleembryo101days	ENCSR167XSQ
ENCFF317PMR	36	muscleofbackmaleembryo101days	ENCSR174GXG
ENCFF097CSM	20	GM03348geneticallymodifiedusingtransductiontreatedwith3mcgmLdoxycyclinefor10days	ENCSR000EIT
ENCFF134DLD	36	K562	ENCSR000EOT
ENCFF950QGD	36	CD14positivemonocytefemaleadult34years	ENCSR695AUY
ENCFF307JMF	36	commonmyeloidprogenitorCD34positivemaleadult42years	ENCSR495INQ
ENCFF147IMV	36	HeLaS3G1bphase	ENCSR000ENO
ENCFF886SWA	36	HeLaS3G1bphase	ENCSR000ENO
ENCFF917XDW	36	leftlungmaleembryo91days	ENCSR510ITB
ENCFF878MWN	36	heartfemaleembryo103days	ENCSR914DOH
ENCFF470NYT	36	adrenalglandembryo96days	ENCSR060BFU
ENCFF957WMA	36	renalpelvisfemaleembryo105days	ENCSR619DRM
ENCFF416ELA	36	kidneyfemaleembryo113days	ENCSR645GJD
ENCFF089DEJ	36	NB4	ENCSR000EPL
ENCFF284NZK	36	NB4	ENCSR000EPL
